,origin microtype,mode,trip count,total trip count,fraction,source
0,1,auto,105256863.05242537,170226552.6741795,0.6183339872592689,GEMS
1,1,bike,5631435.060389233,170226552.6741795,0.03308200143821292,GEMS
2,1,bus,4908356.753867383,170226552.6741795,0.028834260441508067,GEMS
3,1,rail,3995099.7575668865,170226552.6741795,0.023469310132912514,GEMS
4,1,walk,50434798.0499306,170226552.6741795,0.2962804407280975,GEMS
5,2,auto,139634783.32989755,193869830.79409844,0.7202501944626867,GEMS
6,2,bike,5964654.096493649,193869830.79409844,0.03076628308830823,GEMS
7,2,bus,3847737.191075813,193869830.79409844,0.019847013716963235,GEMS
8,2,rail,2337489.6541905217,193869830.79409844,0.012057005696121321,GEMS
9,2,walk,42085166.5224409,193869830.79409844,0.21707950303592058,GEMS
10,3,auto,112854843.04336894,147996639.0935156,0.7625500398833963,GEMS
11,3,bike,4123899.5035812715,147996639.0935156,0.027864818612370487,GEMS
12,3,bus,1326308.8022851332,147996639.0935156,0.00896174947220977,GEMS
13,3,rail,1240550.1380463622,147996639.0935156,0.008382285879225187,GEMS
14,3,walk,28451037.606233887,147996639.0935156,0.19224110615279813,GEMS
15,4,auto,49626427.42410725,63103353.7975216,0.7864309016497368,GEMS
16,4,bike,1663156.579572135,63103353.7975216,0.026356072688444903,GEMS
17,4,bus,336364.22960260854,63103353.7975216,0.005330370089074716,GEMS
18,4,rail,2350.424805034071,63103353.7975216,3.724722480798453e-05,GEMS
19,4,walk,11475055.139434567,63103353.7975216,0.18184540834793558,GEMS
20,5,auto,67707868.21529198,83381727.96877554,0.8120228479871148,GEMS
21,5,bike,2147718.931013588,83381727.96877554,0.025757668776279823,GEMS
22,5,bus,355401.54856232816,83381727.96877554,0.004262343288153221,GEMS
23,5,rail,1.417308769222646,83381727.96877554,1.6997833982924823e-08,GEMS
24,5,walk,13170737.856598891,83381727.96877554,0.15795712295061837,GEMS
25,6,auto,4420309.731373125,5589110.621797477,0.7908789126724313,GEMS
26,6,bike,246525.1574303584,5589110.621797477,0.04410811918248902,GEMS
27,6,bus,4669.04776252708,5589110.621797477,0.0008353829577675273,GEMS
28,6,rail,1.8556085401154753e-19,5589110.621797477,3.32004260727748e-26,GEMS
29,6,walk,917606.6852314665,5589110.621797477,0.16417758518731218,GEMS
